LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
NLD,HHEXP,TOT,MLN_USD,A,2021,423127.633743582,
POL,HHEXP,TOT,MLN_USD,A,2011,497417.733472142,
POL,HHEXP,TOT,MLN_USD,A,2012,520845.607898267,
POL,HHEXP,TOT,MLN_USD,A,2013,531825.898740952,
POL,HHEXP,TOT,MLN_USD,A,2014,545370.512293355,
POL,HHEXP,TOT,MLN_USD,A,2015,564723.662345009,
POL,HHEXP,TOT,MLN_USD,A,2016,592959.318440445,
POL,HHEXP,TOT,MLN_USD,A,2017,628210.029665384,
POL,HHEXP,TOT,MLN_USD,A,2018,667284.225649568,
POL,HHEXP,TOT,MLN_USD,A,2019,712342.777879389,
POL,HHEXP,TOT,MLN_USD,A,2020,691078.86707553,
POL,HHEXP,TOT,MLN_USD,A,2021,737201.059774378,
PRT,HHEXP,TOT,MLN_USD,A,2011,167200.472204386,
PRT,HHEXP,TOT,MLN_USD,A,2012,162214.241252633,
PRT,HHEXP,TOT,MLN_USD,A,2013,167774.230818225,
PRT,HHEXP,TOT,MLN_USD,A,2014,171514.213516318,
PRT,HHEXP,TOT,MLN_USD,A,2015,175043.564858156,
PRT,HHEXP,TOT,MLN_USD,A,2016,185442.574438638,
PRT,HHEXP,TOT,MLN_USD,A,2017,189680.129657049,
PRT,HHEXP,TOT,MLN_USD,A,2018,202692.414890144,
PRT,HHEXP,TOT,MLN_USD,A,2019,216634.034512516,
PRT,HHEXP,TOT,MLN_USD,A,2020,196176.946975447,
PRT,HHEXP,TOT,MLN_USD,A,2021,207340.658571874,
SVK,HHEXP,TOT,MLN_USD,A,2011,70264.8910463787,
SVK,HHEXP,TOT,MLN_USD,A,2012,72366.2098774057,
SVK,HHEXP,TOT,MLN_USD,A,2013,75037.3261318112,
SVK,HHEXP,TOT,MLN_USD,A,2014,77079.2564079295,
SVK,HHEXP,TOT,MLN_USD,A,2015,78398.5979740736,
SVK,HHEXP,TOT,MLN_USD,A,2016,76039.7238436938,
SVK,HHEXP,TOT,MLN_USD,A,2017,76651.2894300861,
SVK,HHEXP,TOT,MLN_USD,A,2018,80859.2175190017,
SVK,HHEXP,TOT,MLN_USD,A,2019,85751.3563457627,
SVK,HHEXP,TOT,MLN_USD,A,2020,83607.6198823603,
SVK,HHEXP,TOT,MLN_USD,A,2021,85836.7018367612,
SVN,HHEXP,TOT,MLN_USD,A,2011,30745.8006062391,
SVN,HHEXP,TOT,MLN_USD,A,2012,30753.4717491669,
SVN,HHEXP,TOT,MLN_USD,A,2013,30720.4255179624,
SVN,HHEXP,TOT,MLN_USD,A,2014,31064.3807336501,
SVN,HHEXP,TOT,MLN_USD,A,2015,31349.4586674073,
SVN,HHEXP,TOT,MLN_USD,A,2016,33346.7069831262,
SVN,HHEXP,TOT,MLN_USD,A,2017,34812.0639686199,
